RC1_Adopted,RC2_Died,RC3_Residence_Order,RC4_Special_Guardianship_Order,RC5_Transfer_to_another_LA,RC6_Transfer_to_Adult_Social_Service,RC7_Other
36,14,36,12,138,62,6167
42,24,0,24,140,20,2636
c,c,0,0,113,0,3367
0,c,0,0,0,c,1096
35,c,c,19,385,c,3965
8,c,c,c,33,15,1207
7,c,c,c,21,9,1025
24,c,13,c,166,57,3428
16,c,c,8,92,16,2642
26,c,c,7,48,13,1407
11,c,0,14,80,c,1843
19,14,27,31,33,12,2435
46,c,7,14,102,c,2221
0,0,c,c,18,c,4269
0,0,0,0,30,0,911
30,c,c,12,84,15,3784
15,c,c,9,45,12,1024
67,c,25,47,178,17,2897
39,6,11,22,147,71,2463
c,c,0,14,45,20,1451
50,16,8,67,104,26,3863
24,c,c,20,96,21,1607
13,9,0,7,88,7,1108
32,20,0,37,133,25,3155
17,c,0,11,141,c,1287
6,c,0,6,19,c,896
18,c,c,35,0,0,2918
18,c,c,10,129,13,4209
21,c,c,26,127,33,2659
53,21,18,c,75,c,9588
c,c,c,0,9,0,1218
60,73,16,84,444,109,11275
21,8,c,c,49,25,2323
19,c,c,17,78,33,1599
37,c,c,42,107,41,3472
25,c,c,14,74,14,2254
12,c,c,c,74,13,847
c,c,0,19,75,15,1418
29,c,c,c,37,c,2507
23,c,c,40,156,59,7479
c,c,0,c,25,8,1545
12,12,10,36,124,6,2558
0,c,0,0,c,0,566
c,0,0,13,31,14,661
14,c,c,11,18,12,505
32,c,12,15,24,23,2083
19,c,c,24,121,9,2687
22,c,c,11,66,39,2829
36,c,c,55,98,54,2266
17,9,c,c,86,14,1327
29,29,c,51,132,c,3808
0,0,0,0,0,0,14
11,c,0,c,27,c,912
26,c,0,12,c,c,1361
26,c,0,23,42,c,2150
c,c,c,20,35,15,1020
16,0,0,c,0,c,1880
c,c,0,0,0,0,1306
25,c,c,15,103,27,2369
c,8,c,17,82,20,1040
0,0,0,0,c,c,22
11,11,0,13,188,18,1997
0,0,0,0,0,0,492
15,c,0,15,91,c,1711
c,c,0,11,56,10,1628
c,0,0,c,40,c,1181
7,c,0,13,88,c,1504
32,14,0,11,124,21,3066
c,c,0,24,297,153,2098
7,c,c,22,118,30,991
c,0,0,c,128,c,4499
